Item ID,Product Name,Category,MRP,Wholesale Price,Cost Price,Stock Quantity,UOM,Reorder Point,Safety stock,Barcode/SKU,Batch NO,Supplier,Brand,Expiry date,Manufacture Date,Inventory Location
PD031,Toilet Cleaner Gel 500ml,Cleaning Agent,290,270,240,100,bottle,25,5,4792037107757,TCGL500,Kitchen Essentials,Lysol,5/15/2027,7/15/2025,Room1 Shelf3
PD032,Black Pepper Powder 100g,Spices,350,330,300,170,Pcs,40,10,8901000001443,BPEP100,Spice Routes Co.,MD,4/1/2028,10/1/2025,"Shelf 4, Section E"
PD033,Ketchup 400g,Sauces,190,180,160,150,bottle,35,8,4792037107758,KTCH400,Condiment Supply,Maggi,11/10/2027,8/10/2025,Cold Room Shelf 4
PD034,Notebook A4 (100 Pages),Stationery,150,140,120,250,Pcs,60,20,4792037107759,NOTEA4,Paper & Pen Co.,Atlas,1/1/2030,3/1/2025,Room3 Drawer D
PD035,Lentils (Red) 1kg,Pulses,220,200,180,300,Kg,75,25,8901000001554,LENTR1K,Global Pulses Corp,Pulse King,11/1/2026,9/1/2025,"Warehouse B, Bin 3"
PD036,Milk Powder (Full Cream) 400g,Dairy,650,620,580,90,Pcs,25,10,4792037107760,MPL400,Dairy Best Corp,Anchor,2/28/2027,12/28/2025,Cold Room Shelf 5
PD037,Mouthwash 250ml,Personal Care,320,300,270,110,bottle,30,5,8901000001665,MWASH25,Health & Hygiene,Listerine,7/1/2027,10/1/2025,Display Shelf 9
PD038,Instant Noodles (Chicken Flavor),Snacks,90,85,70,400,Pcs,100,30,4792037107761,NOODLCH,Food & Snack Empire,Prima,3/25/2026,11/25/2025,"Shelf 5, Section F"
PD039,Bleach 1L,Cleaning Agent,150,140,120,200,bottle,50,15,4792037107762,BLEA1L,Kitchen Essentials,Clorox,9/1/2027,5/1/2025,Room1 Shelf2
PD040,Cookies (Chocolate Chip) 200g,Confectionery,200,180,150,160,Pcs,40,10,8901000001776,COOK200,Candy King Distributors,Maliban,8/1/2026,12/1/2025,Checkout Counter
PD041,Hair Conditioner 200ml,Personal Care,450,420,380,130,bottle,35,8,8901000001887,HCON200,Health & Hygiene,Head & Shoulders,6/15/2027,4/15/2025,Display Shelf 10
PD042,Canned Peas 400g,Canned Goods,180,170,150,190,Pcs,45,10,8901000001998,CPEAS400,Sea Harvest Co.,Green Valley,5/20/2026,11/20/2025,"Shelf 2, Section B"
PD043,USB Flash Drive 32GB,Electronics,800,750,680,70,Pcs,15,5,4792037107763,USB32GB,Tech Supply Co.,SanDisk,1/1/2030,10/1/2025,Room3 Drawer E
PD044,Green Gram 500g,Pulses,280,260,230,240,Kg,60,15,8901000002009,GGRAM500,Global Pulses Corp,Nature's Gem,12/5/2026,7/5/2025,"Shelf 3, Section D"
PD045,Vinegar (White) 500ml,Condiments,120,110,95,180,bottle,40,10,4792037107764,VINEG500,Condiment Supply,White Star,1/1/2028,9/1/2025,Cold Room Shelf 6
PD046,Ballpoint Pens (Pack of 5),Stationery,50,45,35,500,Pcs,120,40,4792037107765,PENB5P,Paper & Pen Co.,Bic,1/1/2030,4/1/2025,Room3 Drawer F
PD047,Black Olives (Jar) 300g,Condiments,480,450,400,80,bottle,20,5,4792037107766,OLIVE300,Gourmet Imports,Del Monte,10/20/2027,12/20/2025,Cold Room Shelf 7
PD048,Hand Sanitizer 100ml,Personal Care,150,140,120,280,bottle,70,20,8901000002110,HSAN100,Health & Hygiene,Dettol,9/10/2026,5/10/2025,Checkout Counter
PD049,Tomato Paste 100g,Sauces,60,55,45,350,Pcs,80,25,8901000002221,TPASTE10,Condiment Supply,Del Monte,4/1/2027,11/1/2025,"Shelf 4, Section E"
PD050,Kitchen Towels (Roll),Paper Goods,170,160,140,200,Pcs,50,15,4792037107767,KTOWEL,Health & Hygiene,Viva,2/1/2028,6/1/2025,Display Shelf 7
PD051,Pineapple Juice 400ml,Beverages,160,150,130,170,bottle,40,10,4792037107768,PJUIC400,Global Coffee Co.,Ole,1/15/2026,9/15/2025,Office cupboard
PD052,Floor Cleaner 1L,Cleaning Agent,420,400,360,140,bottle,35,8,4792037107769,FCLN1L,Kitchen Essentials,Harpic,11/25/2027,11/25/2025,Room1 Shelf1
